Submission / Project,Requested Edits 7.0,SCF #41 Assigned Reviewers,Completed Reviews #41,Submit review (rfp),Tentative Panel Decision,RFP Track Specifics,Description (from Project),Round,Budget,Status,Project,Products & Services,Technical Architecture,Video,Thumbnail,Traction Evidence,Tranche 1 - Deliverables,Tranche 1 Date,Tranche 2 - Testnet,Tranche 2 Date,Tranche 3 - Mainnet,Tranche 3 Date,Team Description (from Project),Referral,How did referrer meet team?,Build Readiness from Referral,Team Assessment From Referral
Smart Account Onboarding,,"Matej Plavevski,Rahim Klabér","Matej Plavevski,Rahim Klabér",https://airtable.com/appymB1sbp5uidiGe/pagsQPHbKUm4PrlnM/form,Approved,C-Address Tooling & Onboarding,"Smart Account Onboarding is an open-source reference implementation and onboarding standard that removes the primary adoption friction for Soroban smart accounts: funding a C-address without forcing end-users to first create and manage a traditional G-address.

The project delivers:

-   a G→C seamless funding bridge (supporting inbound funding from existing G-addresses, CEX withdrawals, and optional off-ramp rails), making the “G-address step” transparent or unnecessary for the user,  
    
-   a production-grade reference C-address wallet (web + mobile) with token holdings and transfer history at parity with Freighter,  
    
-   a reusable Onboarding Kit (UI + SDK) that wallet providers can embed to standardize the “create C-address → fund fees → add assets → bridge funds” journey across the ecosystem.  
    

Implementation aligns with the OpenZeppelin Smart Account standard, using its smart-account primitives (policies/signers/verifiers) to support modern auth patterns and extensibility.",SCF #41,$150000.00,Panel Review,Smart Account Onboarding,"This submission delivers an end-to-end, open-source G→C onboarding + passkey account abstraction stack for Soroban, packaged as reusable ecosystem primitives: a 3-contract Smart Account suite, a reference Passkey Wallet Web App, and an Onboarding SDK that any wallet or dApp can embed.

####   
I- Soroban Smart Account Contract Suite (deterministic C-address lifecycle + passkeys)

Three Soroban contracts that cover the full lifecycle of C-address creation and passkey-based authentication, optimized for low per-user deployment cost and predictable onboarding flows.

1) Factory (Deterministic Deployment)

-   Deterministically deploys a user Smart Account via Stellar/Soroban deterministic deployment (deployer_with_address).
    
-   get_c_address(funder, …) allows wallets/dApps to pre-compute the future C-address before deployment, enabling pre-funding (onramps, escrow rails, “fund-first” onboarding).
    
-   create_account(funder, credential_pubkey, …) deploys + initializes the Smart Account and registers the user’s passkey as the initial signer, while lazy-deploying a shared component (the WebAuthn verifier) when required.
    

=> Outcome: one-call provisioning that turns G→C migration into a simple, deterministic onboarding primitive for the ecosystem.

  
1. Smart Account (Account Abstraction + On-chain Policy)

-   Implements OpenZeppelin smart-account interfaces/traits (e.g., CustomAccountInterface, SmartAccount, ExecutionEntryPoint).
    
-   Uses Stellar/Soroban’s native __check_auth hook to enforce:
    
    -   Passkey-authenticated execution (WebAuthn-backed signatures).
        
    -   Scoped session keys via OZ context rules (least-privilege dApp access: allowlists, spend limits, expirations).
        
    -   On-chain policy enforcement so trust boundaries remain verifiable and auditable.
        

  
=> Outcome: modern wallet UX (passkeys + sessions) with security guarantees enforced on-chain.

3) WebAuthn Verifier (Shared P-256 Verifier)

-   Stateless secp256r1 / P-256 verifier implementing OpenZeppelin’s Verifier trait.
    
-   Deployed once and reused across all Smart Accounts to keep per-account deployment overhead low.
    

=> Outcome: passkeys become a first-class signing method for Soroban Smart Accounts without per-user verifier deployments.

-  

#### II- Passkey Wallet Web App (reference implementation + integration target)

A standalone, browser-based wallet that manages Soroban Smart Accounts with passkeys and provides a clean, auditable UX for G→C onboarding and day-to-day dApp interactions.

Key capabilities:

-   Passkey onboarding: create/register passkeys via the WebAuthn browser API; sign Soroban authorization entries with no seed phrase.
    
-   Guided G→C onboarding flow: generate an ephemeral G-address, detect funding, create passkey, deploy the C-address Smart Account — with atomic on-chain execution wherever applicable.
    
-   dApp request routing (stable callback URL): a persistent wallet URL endpoint that dApps can redirect to with a signing request, then redirect back with signed authorization entries (deep-link UX).
    
-   Large request + multi-sig friendliness: optional store-and-forward via refractor.space when payloads don’t fit in URLs and to simplify multi-step / multi-signer orchestration.
    
-   Session key management UI: create/revoke scoped session keys aligned with on-chain OZ context rules.
    
-   Gas abstraction: integrates Stellar Development Foundation’s OpenZeppelin Relayer / Channels Service so users can transact without holding XLM for fees.
    
-   Wallet parity basics: token balances + transfer history for the Smart Account, comparable to existing Stellar wallets.
    

=> Outcome: proves end-to-end feasibility, provides a UX baseline, and serves as a reference client for ecosystem integrators.

-  

#### III- Onboarding SDK (embed G→C + passkeys into any wallet or dApp)

An open-source JavaScript/TypeScript SDK that lets third-party wallets and dApps adopt C-address onboarding and Smart Account interactions without re-implementing the flow.

Includes:

-   Pre-built UI components for G→C migration (funding step, passkey creation, deployment confirmation).
    
-   Transaction builders + helpers for Factory interactions, Smart Account operations, session key creation, and policy configuration.
    
-   Transport adapters for deep-links and refractor.space (oversized payload handling + smoother multi-party signing).
    
-   Documentation + examples showing how to add C-address support to an existing wallet and how dApps can request signatures safely.
    

=> Outcome: turns Smart Accounts + passkey onboarding into a reusable ecosystem primitive, accelerating adoption across wallets, dApps, and onboarding rails.",https://github.com/theahaco/g2c/blob/main/ARCHITECTURE.md,https://youtu.be/vfLeulFi8iQ,bedea405 (https://v5.airtableusercontent.com/v3/u/51/51/1773136800000/1pcysdsjPVFGFUCRgzMZuA/dxmp8aHWEiwMAkJNFyrMRwb4QrIfubiFby4Hc1ZsuxSJJP2f3H4v6j0Uk2aemP8izzKvLDNB1qDqAE_Birwa58SrMYoZjxNUAlPS9hN5h-olRDmV53WUGeHsxZEhjNK8LUMFnzayh-frREAWIpSTTg/nouDPBNKwRv9gVdv8lFn9U7FcFN2JqQy330ZM-1ugX8),"We built a working PoC of the wallet web app at https://mysoroban.xzy/dapp. It demonstrates the full onboarding workflow (G→C) and the core dApp interaction pattern where the “wallet” is a subdomain per smart-account contract, solving the WebAuthn constraint that passkeys are scoped to origins/domains (previously implying “one passkey per dApp”).

Concretely: a dApp redirects the user to their account subdomain with the hash of the auth entry in the URL; the wallet uses the passkey to sign the authorization entry and redirects back. Next, we’ll pass the full transaction payload, submit it via the OpenZeppelin relayer (fee abstraction), and return execution results to the dApp. For payloads too large for URLs (and smoother multisig flows), we’ll store unsigned transactions on refractor.space by Stellar Expert.

Team credibility: The Aha Company has a strong delivery record, including major contributions to the Stellar CLI, and institutional work such as bringing Société Générale-Forge’s EURCV onto Stellar rails. We’ve also shipped multiple Stellar Community Fund–funded deliverables (e.g., Loam, Moonlight, Scaffold Stellar), and we actively support ecosystem governance and developer education (mostly through hackathons).","#### Deliverable 1: Smart Contracts — Feature Complete

Brief description:

- Factory, Smart Account, and WebAuthn Verifier contracts finalized with full test suite.

- Factory supports create_account and get_c_address; Smart Account implements OZ SmartAccount + CustomAccountInterface + ExecutionEntryPoint with context rules.

Proof of completion: All contracts compile, pass unit/integration tests, and deploy to Stellar testnet. Test suite covers onboarding flow, passkey auth, and session key scoping.

Estimated completion: 4 weeks after approval.

Budget: $12,000

-  

#### Deliverable 2: Basic Wallet Web App

Brief description:  
- Passkey creation and transaction signing via WebAuthn browser API.

- G->C onboarding flow: ephemeral G-address generation, fund detection, passkey registration, atomic deployment + fund transfer.

Proof of completion: User can fund a G-address, create a passkey, and migrate to a C-address on testnet via the web app.

Estimated completion: 6 weeks after approval.

Budget: $18,000",2026-3-30,"#### Deliverable 3: Full dApp Interaction Flow

Brief description:

- Transaction receiving via URL-embedded XDR and refractor.space integration.

- Transaction review UI with human-readable operation display.

Proof of completion: A sample dApp can send an unsigned transaction to the wallet (via both methods), wallet displays it for review, user signs with passkey, and the signed transaction executes on testnet.

Estimated completion: 10 weeks after approval.

Budget: $15,000

-  

#### Deliverable 4: OZ Relayer Integration + Session Keys

Brief description:

- Gas abstraction: wallet can submit transactions via OZ Relayer so users transact without holding XLM.

- Session key UI: users can grant dApps scoped signing permissions (contract restrictions, spending limits, time windows) via context rules.

Proof of completion: Demonstrate gas-abstracted transaction on testnet. Session key can be created with scope restrictions and used by a dApp to execute a scoped transaction.

Estimated completion: 13 weeks after approval.

Budget: $18,000

-  

#### Deliverable 5: Wallet Feature Parity

Brief description:

- Token balance display (all assets held by the C-address).

- Transfer history view.

- View and manage policies and keys

Proof of completion: Features added to the web wallet

Estimated completion: 14 weeks after approval.

Budget: $12,000",2026-5-25,"#### Deliverable 6: Mainnet Deployment + Audit Fixes

Brief description:

- Deploy all contracts to Stellar mainnet.

- Address findings from the SCF-provided security audit.

Proof of completion: Contracts deployed to mainnet, all critical and high audit findings resolved, audit report published.

Estimated completion: 17 weeks after approval.

Budget: $24,000

-  

#### Deliverable 7: Onboarding SDK + Documentation

Brief description:

- Open-source JavaScript/TypeScript SDK with pre-built components for G->C onboarding, factory interactions, and refractor.space integration.

- Developer documentation covering SDK usage, contract ABIs, and integration guides.

Proof of completion: SDK published to npm, documentation site live, SDK can be used to add C-address onboarding to an existing app.

Estimated completion: 19 weeks after approval.

Budget: $21,600

-  

#### Deliverable 8: Example Integrations

Brief completion:

- Reference integrations demonstrating how existing wallets and dApps can adopt C-address support using the SDK.

Proof of completion: At least two example integrations published (e.g., a simple dApp using refractor.space, and a wallet adding C-address onboarding via the SDK).

Estimated completion: 20 weeks after approval.

Budget: $14,400",2026-7-6,"1) Chad O, CEO

Chad is a Web2 startup + consulting veteran who moved into Web3 in 2019. After working on Ethereum DAO dApps, he joined Near Inc. in 2020 (building NEAR Protocol) and co-founded The Aha Company in 2021. He’s led the design and implementation of key Stellar smart-contract developer workflows.

Connect → GitHub | LinkedIn  

2) Willem Wyndham, CTO

Willem is a programming languages + security specialist (PhD track at University of Maryland) who shifted into blockchain runtime engineering at NEAR Protocol. He brings deep expertise in Rust (programming language) and WebAssembly, with a focus on execution environments and securit, now leading The Aha Company’s technical architecture.  

Connect → GitHub | LinkedIn  

3) Enzo Soyer, COO

Enzo combines engineering and business training (CentraleSupélec, ESSEC Business School) with hands-on operator experience across Web3 ventures. As COO of The Aha Company, he leads strategy, partnerships, and execution, turning complex blockchain systems into shippable products and scalable business lines.

  
Connect → LinkedIn

4) Fabricius Zatti, Principal Engineer

Fabricius is a tech leader with 15 years of experience, including 5+ years building Web3 systems for institutions such as the Central Bank of Indonesia, MoneyGram, IOG, and the Stellar Development Foundation. He has deep expertise in Stellar and smart contracts, with hands-on experience across Ethereum (EVM + L2s), NEAR Protocol, Solana, and Cardano. He’s active in the Linux Foundation Decentralized Trust ecosystem, holds Hyperledger Fabric Practitioner and Hyperledger Besu certifications, and has contributed to Hyperledger Cacti.

Connect → Github | Linked",Smart Account Onboarding & Anke Liu,Known ecosystem builder,"Known ecosystem builder, built several successful products before",Known ecosystem builder
OBSRVR Prism,,"Matias Wald,Ishan Singh","Matias Wald,Ishan Singh",https://airtable.com/appymB1sbp5uidiGe/pagsQPHbKUm4PrlnM/form,Approved,Soroban-first Block Explorer,A Soroban-First Block Explorer Powered by flowctl,SCF #41,$79999.00,Panel Review,OBSRVR Prism,"OBSRVR Prism extends our existing open-source in development block explorer — the Obsrvr Intelligence Console (Terminal) — with full Soroban-first capabilities. Terminal already provides a contract-centric explorer with tiered hot/cold storage and real-time WebSocket streaming. Prism adds the missing Soroban display layer: human-readable transactions, CAP-67 event support, and complete ledger history from genesis.

  

Existing Foundation — What's Already Built (Stellar Integration):

Terminal is a block explorer running on Obsrvr Lake with tiered storage — PostgreSQL for recent data and S3 Parquet/DuckDB for full history.

Full History (Stellar Integration): Ingests all 61M+ Stellar ledgers using flowctl (open-source) and our gRPC-based TTP processor pipeline, streaming from Stellar archives into PostgreSQL. No gaps in Soroban-era data.

Human-Readable Soroban (Impact): Implements SEP-41 and SEP-50 to transform opaque XDR into plain language — ""Swapped 100 USDC for 1,250 XLM via Soroswap."" Makes DeFi, collectibles, and smart contract activity accessible to all users.

CAP-67 Event Stream (Stellar Integration): Full unified event stream with swap detection heuristics for major DEXes (Soroswap, Aquarius, Phoenix). Filterable by contract, function call, event type, and token.

Classic + Soroban Parity (Impact): Unified interface for classic operations, SAC tokens, SEP-39, and Soroban smart contracts — complete coverage of the Stellar ecosystem in one explorer.

Obsrvr Lake Backend (Stellar Integration): Bronze layer (immutable raw XDR in object storage) + Silver layer (transformed and filterd) backed by Stellar Galexie archives. Already running on testnet. Long-term sustainability guaranteed — explorer infrastructure is maintained as part of Obsrvr's core platform, not an isolated grant project.

Fully Open Source: Pipeline, processors, API, and frontend. Some core components already public on GitHub.",https://github.com/withObsrvr/terminal,,cd08557f (https://v5.airtableusercontent.com/v3/u/51/51/1773136800000/ZH-BHPGUdiFM-Ptb-F6gEg/W0s_miR8G7K4g9f8wIQNgej6cEmSG7PBESrYvSCykbHYN6JI8Ypk-XiotxN5tBQnJ1pooCXSHAbPEvyAafaR5Sro3tOmnfVIAhol-5OYVu3PIv21fyDUVksR7-t_4xdfxCCgoGeJwZWk1nHM6aYK0g/vvALnU-WjLJ_iSn0-JHQ-VpgA6nP4LVd4GDQ1-2Idew),"Open-Source Tooling (Live on GitHub):

• nebu v0.3.8 — Stellar ledger processor with 10 built-in processors (contract-events, token-transfer, usdc-filter, contract-invocation, etc.). https://github.com/withObsrvr/nebu

• Flowctl based TTP Processor Pipeline — gRPC microservices for streaming Stellar events to PostgreSQL. Built on SDF's TTP-as-a-Service architecture concept for processors (stellar/go#5637). https://github.com/withObsrvr/ttp-processor-demo

• Terminal (Obsrvr Intelligence Console) — Contract-centric block explorer and developer terminal for Stellar/Soroban. Features tiered storage (Hot PostgreSQL + Cold S3 Parquet/DuckDB), natural language console commands, Agent/LLM-friendly APIs, real-time WebSocket streaming, and Bloomberg Terminal-inspired multi-column interface. Built with Go and HTMX. Prism extends Terminal with full CAP-67/SEP-41/SEP-50 support. https://github.com/withObsrvr/terminal

Running Infrastructure:

Obsrvr Lake operational on testnet (DigitalOcean) — PostgreSQL hot layer + object storage, processing testnet ledgers in real-time with Bronze/Silver data model.

Mainnet Data Processing (Demonstrated):

Successfully processed live mainnet Soroban contract events using nebu/flowctl cecoding multi-hop DEX swaps, USDC transfers, SAC operations, and token minting in real-time.

Ecosystem Alignment:

Purpose-built for Stellar from day one. Deep familiarity with XDR encoding, Soroban contract architecture, and standards landscape (SEP-41, SEP-50, CAP-67, SEP-39).

Previous chats that lead to initial explorer work (Terminal) even though the topics were not specific to explorers:

-   November 10th 2024**[12:50 PM]Jake | SDF** Hey there! I’d love to hear about your building for observr. Freighters just looking for a provider for pricing data so we can do something like this
    
-   May 25th 2025 [2:25 PM]Jake | SDF:
    
    -   As a third party service, my gut is that most clients would prefer the service to host the data and expose an API for them to query, maybe with the option to subscribe to webhooks. I've seen some indexers that offer functionality to write directly to the client's database or other form of storage but IMO its not difficult to parse a webhook or API response and write it to your preferred storage yourself.
        
-   May 25th 2025 [2:25 PM]Jake | SDF:
    
    -   My team (wallets) is building our own indexer we'll use for Freighter. It'll use TTP for balance changes but we're aiming to index more than that (signers, allowances, defi positions, etc.)
        
-   May 25th 2025 [2:29 PM]Jake | SDF:
    
    -   That being said most wallets, especially the larger multichain ones, aren't looking for the deep support for Stellar our indexer will provide, and are largely just interested in balance changes for fungible and nonfungible tokens
        
-   June 25th 2025 [9:53 AM]jcanneto:
    
    -   Wondering what your thoughts on building out use case specific apis are? We've been seing a lot of need for token transfer or balance related apis that are more or less plug and play. Is this something you would be interested in providing?","[Deliverable 1] Mainnet Ingestion Pipeline

• Brief description: Deploy nebu and TTP processor pipeline on mainnet infrastructure, ingesting live Stellar ledgers in real-time via gRPC streaming to PostgreSQL.

• How to measure completion: Pipeline running with <30 second latency from network tip. Publicly accessible health endpoint showing ingestion status and current ledger sequence.

• Budget: $5,000  

[Deliverable 2] Historical Backfill ≥50%

• Brief description: Begin full-history backfill from Stellar genesis (ledger 1) through present. Ingest raw ledger data into Bronze layer (object storage) and normalized data into Silver layer (PostgreSQL).

• How to measure completion: ≥30M of ~61M ledgers ingested and indexed. Backfill progress dashboard publicly visible. API queries against early ledger data return correct results.

• Budget: $5,000

[Deliverable 3] Explorer Frontend on Testnet

• Brief description: Adapt existing Terminal explorer for Soroban-first display. Deploy on testnet with ledger list, transaction detail, account history, global search, and classic asset rendering including SAC and SEP-39 tokens.

• How to measure completion: Publicly accessible testnet explorer URL. Classic operations (payments, path payments, offers, trustlines) displayed correctly. SAC token balances and transfers visible. Verified against known testnet transactions.

• Budget: $3,000

[Deliverable 4] Core API Endpoints

• Brief description: REST API endpoints for ledgers, transactions, accounts, operations, and events. Built on existing Terminal API layer.

• How to measure completion: Endpoints live on testnet: /ledgers, /transactions/{hash}, /accounts/{id}, /operations, /events. Response times <400ms. API documentation published.

• Budget: $3,000",2026-4-11,"[Deliverable 1] CAP-67 Unified Event Stream

• Brief description: Implement full CAP-67 contract event ingestion and display. Dedicated event stream view showing decoded topics and data, combining classic effects and Soroban events in a single filterable interface.

• How to measure completion: Event stream page live on testnet. Events filterable by contract address, event type, and function call. Verified against known mainnet Soroban contract events.

• Budget: $4,000

[Deliverable 2] SEP-41 + SEP-50 Human-Readable Display

• Brief description: Implement SEP-41 token interface rendering and SEP-50 human-readable transaction summaries. Token transfers display human-readable names and decimal-adjusted amounts. Transactions show plain-language descriptions.

• How to measure completion: Transaction detail pages show summaries like ""Sent 500 USDC from G...ABC to G...XYZ"" and ""Swapped 100 USDC for 1,250 XLM via Soroswap."" Verified against known USDC, yXLM, and AQUA transfers on mainnet.

• Budget: $4,000

[Deliverable 3] Swap Detection & Function Call Filtering

• Brief description: Heuristic-based swap detection for major Soroban DEXes (Soroswap, Aquarius, Phoenix). UI and API filtering by smart contract function name (e.g., swap, transfer, mint).

• How to measure completion: Swaps displayed as ""Swapped X TokenA for Y TokenB via [DEX]."" API supports fn_call query parameter. UI filter functional. Verified against known DEX transactions.

• Budget: $4,000

[Deliverable 4] Historical Backfill ≥90%

• Brief description: Continue full-history ingestion. Target ≥55M of ~61M ledgers processed and indexed across Bronze and Silver layers.

• How to measure completion: Backfill dashboard showing ≥90% progress. Early Soroban-era transactions (2024) queryable and returning correct results.

• Budget: $5,000

[Deliverable 5] Mainnet Infrastructure Scaling

• Brief description: Optimize database indexes and caching for production query patterns. Scale storage tiers for growing dataset. Prepare infrastructure for mainnet launch load.

• How to measure completion: Query performance benchmarks showing <400ms on representative queries against full dataset. Storage capacity confirmed for 12+ months of growth.

• Budget: $7,000",2026-5-30,"[Deliverable 1] Full History Complete & Verified

• Brief description: Complete ingestion of all ~61M+ Stellar ledgers from genesis to present. Verify data integrity across multiple network eras.

• How to measure completion: 100% of ledgers ingested. Spot-check verification against known historical transactions (pre-Soroban, protocol v20 launch, recent). Zero gaps in ledger sequence.

• Budget: $6,000

[Deliverable 2] Production Mainnet Deployment

• Brief description: Launch explorer at public URL serving live mainnet data. CDN-backed frontend, uptime monitoring, and alerting configured.

• How to measure completion: Explorer live and publicly accessible. Uptime monitoring dashboard active. Real-time data within 30 seconds of network tip.

• Budget: $8,000

[Deliverable 3] Load Testing

• Brief description: Comprehensive load testing demonstrating production readiness under parallel user load.

• How to measure completion: Published load test report showing stable <400ms API response times under ≥100 concurrent requests. Methodology and raw results included.

• Budget: $5,000

[Deliverable 4] Documentation & Example Integrations

• Brief description: Complete documentation suite and example integrations. API reference, architecture guide, deployment guide, contributor guide. Embeddable transaction widget and API usage examples in Python and JavaScript.

• How to measure completion: Docs published on project site and GitHub. Both example integrations functional with README instructions.

• Budget: $3,000

[Deliverable 5] Open Source Release

• Brief description: Publish complete explorer codebase under permissive open-source license. Include contributing guidelines, issue templates, and CI/CD pipeline.

• How to measure completion: Public GitHub repository with full source, LICENSE file, CONTRIBUTING.md, CI passing, and tagged release.

• Budget: $2,000

[Deliverable 6] Post-Launch Infrastructure

• Brief description: Provision infrastructure to ensure explorer availability and data freshness beyond the grant period.

• How to measure completion: Infrastructure contracts/prepayment receipts for 6 months post-launch. Explorer operational commitment through December 2026.

• Budget: $8,000",2026-7-1,"Tillman Mosley III  
https://www.linkedin.com/in/tillmanmosleyiii/  
  
Currently maintain Radar (formerly stellarbeat) and two other Stellar ecosystem projects. Experience in data infrastructure and data ingestion.",OBSRVR Prism & Alex Olieman,"I got to know Tillman's first SCF project before I met the amazing person behind it. We've since hung out at Meridian, and Tillman has helped me out tremendously by customizing Obsrvr Flow when the Mercury team couldn't get their Protocol 23 upgrade to work.","Tillman has built a suite of products under the Obsrvr umbrella. Some I have direct experience with, others I hear good things about. Specifically for the Prism block explorer, Tillman already has all his ingestion and indexing infrastructure in place, so he'll be able to deliver a production-grade solution faster than other teams can.","Tillman has an exceptional track record hosting validators, Horizon, and RPCs. More recently he has built the most usable and performant infrastructure on top of the Composable Data Platform. His indexers still work when others fail."
